id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
103081,103413,199629,8028,,58Nu  Cyg,,20.952893,41.167136,114.8106,8.51,-23.97,-28,3.94,-1.36,A1Vn,0.027,60.355787,-61.863108,75.574805,-0.00000553,0.00001245,-0.00002889,5.485454684,0.718502058,4.12576E-08,-1.1621E-07,Nu,58,Cyg,1,103081,,304.789499,,,
9577,9598,12216,580,,50    Cas,,2.057268,72.421294,48.1696,-44,22.51,-14,3.95,0.536,A2V,-0.002,12.488444,7.46198,45.920103,-0.00000274,-0.00001361,-0.00001206,0.538591491,1.263990033,-2.13318E-07,1.09132E-07,,50,Cas,1,9577,,53.16183951,,,
31512,31592,47205,2429,Gl 239.1,7Nu 2CMa,,6.611399,-19.255879,19.7511,62.32,-69.91,4.1,3.95,2.472,K1III+...,1.037,-2.971851,18.407811,-6.513678,-0.00000617,0.00000078,-0.0000077,1.730860124,-0.336078492,3.02136E-07,-3.38933E-07,Nu-2,7,CMa,1,31512,,8.937169609,,,
118887,,116657,5055,NN 3784B,79Zet UMa,,13.398996,54.920471,24.1546,105.74,-30.32,-9.3,3.95,2.035,A1 m,0.13,-12.960884,-4.971592,19.766651,0.00000682,-0.00001064,-0.00000982,3.507849063,0.958543045,5.12642E-07,-1.46996E-07,Zet,79,UMa,2,118887,NN 3784,13.36595517,,,
19296,19343,25940,1273,,48    Per,,4.144357,47.712513,146.1988,20.19,-33.26,1,3.96,-1.865,B3Ve,-0.025,45.931031,86.988502,108.154671,-0.00000419,0.00002271,-0.0000151,1.084990111,0.83274044,9.78839E-08,-1.61249E-07,,48,Per,1,19296,,485.2885002,MX,3.974,3.954
28256,28328,40808,2120,,Eta Col,,5.985778,-42.815135,144.7178,18.53,-11.45,17,3.96,-1.843,K0III,1.146,0.395224,106.157169,-98.3554,-0.00001297,0.00000734,-0.00001771,1.567073051,-0.747265082,8.9836E-08,-5.55112E-08,Eta,,Col,1,28256,,475.5541763,,,
44120,44248,76943,3579,Gl 332A,,,9.010685,41.782911,16.0694,-487.67,-219.29,27.1,3.96,2.93,F5V,0.463,-8.496677,8.449391,10.707365,0.00000406,0.00004954,0.00000573,2.358991941,0.729249366,-2.36429E-06,-1.06315E-06,,,Lyn,1,44120,Gl 332,5.861381645,,,
44972,45101,79447,3663,,,,9.187985,-62.316977,166.3894,-38.04,15.93,18,3.96,-2.146,B3IV,-0.18,-57.282911,51.905154,-147.343168,0.00000583,0.00003612,-0.00001033,2.40540882,-1.087636429,-1.84423E-07,7.72308E-08,,,Car,1,44972,,628.6370884,,,
94946,95241,181454,7337,,Bet1Sgr,,19.377303,-44.458965,96.1538,7.31,-22.43,-11,3.96,-0.955,B9V,-0.085,24.213622,-64.216561,-67.345884,-0.00000223,0.00001557,0.00000042,5.072966055,-0.775955314,3.54399E-08,-1.08744E-07,Bet-1,,Sgr,1,94946,,209.8939884,,,
95052,95347,181869,7348,,Alp Sgr,,19.398103,-40.61594,55.7414,32.67,-120.81,-1,3.96,0.229,B8V,-0.105,15.143928,-39.50987,-36.286833,0.00000036,0.00002373,-0.00002411,5.078411456,-0.708881879,1.58389E-07,-5.85703E-07,Alp,,Sgr,1,95052,,70.53424143,,,
99529,99848,192909,7751,,32    Cyg,,20.257867,47.714208,324.6753,3.88,1.2,-14,3.96,-3.597,K3Ib-II comp,1.451,121.738655,-181.384936,240.194033,-0.00000108,0.00001256,-0.00000932,5.303497122,0.832770032,1.88108E-08,5.81776E-09,,32,Cyg,1,99529,,2392.213848,V1488,3.985,3.935
115073,115438,220321,8892,,98    Aqr,,23.382842,-20.10058,50.1002,-120.27,-96.7,-7,3.96,0.461,K0III,1.082,46.435798,-7.568697,-17.217874,-0.0000193,-0.00002645,-0.00001959,6.121613721,-0.350821303,-5.83085E-07,-4.68815E-07,,98,Aqr,1,115073,,56.96393733,,,
20483,20535,28028,1393,,43    Eri,,4.400613,-34.016846,90.8265,73.77,57.57,24,3.97,-0.821,K4III,1.468,30.609599,68.780131,-50.811792,-0.00001564,0.00004475,0.00000728,1.152077901,-0.59370597,3.57647E-07,2.79107E-07,,43,Eri,1,20483,,185.5239576,,,
27604,27673,39003,2012,,32Nu  Aur,,5.858166,39.14848,70.6215,8.48,0.39,10,3.97,-0.275,K0III,1.132,2.033173,54.730173,44.585685,-0.00000261,0.00000795,0.00000656,1.533664269,0.683269878,4.11122E-08,1.89077E-09,Nu,32,Aur,1,27604,,112.2018454,,,
35132,35228,57623,2803,,Del Vol,,7.280508,-67.957152,226.2443,-4.11,8.5,23,3.97,-2.803,F6II,0.76,-27.934552,80.182853,-209.706812,-0.00000149,0.00001798,-0.0000183,1.906032507,-1.186076047,-1.99258E-08,4.12092E-08,Del,,Vol,1,35132,,1151.330474,,,
42396,42515,74006,3438,,Bet Pyx,,8.668373,-35.308352,127.551,9.68,-21.18,-13,3.97,-1.558,G5II/III,0.936,-66.942302,79.706384,-73.721425,0.00000726,-0.00001795,-0.000003,2.269374697,-0.616247001,4.693E-08,-1.02684E-07,Bet,,Pyx,1,42396,,365.763193,,,
59267,59449,105937,4638,,Rho Cen,,12.194202,-52.36846,116.144,-42.17,-18.39,15,3.97,-1.355,B3V,-0.156,-70.823795,-3.603843,-91.980772,-0.00000237,0.00002365,-0.00001847,3.192434584,-0.914002055,-2.04446E-07,-8.91572E-08,Rho,,Cen,1,59267,,303.3891184,,,
77398,77634,141556,5883,,5Chi Lup,,15.849316,-33.627165,59.8444,-5.92,-24.91,5,3.97,0.085,B9.5III-IV,-0.045,-26.597559,-42.137857,-33.141039,-0.00000159,0.0000007,-0.00000885,4.149341271,-0.586904754,-2.8701E-08,-1.20767E-07,Chi,5,Lup,1,77398,,80.53784412,,,
98184,98495,188228,7590,,Eps Pav,,20.009845,-72.910504,32.2165,80.54,-131.34,-2,3.97,1.43,A0V,-0.032,4.754832,-8.186656,-30.794025,0.00000073,0.00002379,-0.00000407,5.238565042,-1.272528347,3.90469E-07,-6.36754E-07,Eps,,Pav,1,98184,,23.33458062,,,
110650,110997,213009,8556,,Del1Gru,,22.487825,-43.495565,94.8767,25.62,-4.23,5,3.97,-0.916,G6/G8III,1.022,63.502865,-26.541175,-65.303513,0.00000673,0.00000996,-0.00000493,5.887298738,-0.759140811,1.24209E-07,-2.05076E-08,Del-1,,Gru,1,110650,,202.4883307,,,
112084,112440,215665,8667,NN 4295,47Lam Peg,,22.775521,23.565654,111.9821,56.99,-10.46,-4.3,3.97,-1.276,G8II-III,1.07,97.414069,-32.34337,44.770388,0.00000808,0.00002992,-0.00000696,5.962617449,0.411298251,2.76295E-07,-5.07115E-08,Lam,47,Peg,1,112084,,282.0979954,,,
